iter	Passed	Remaining
0	126	126505
1	128	64027
2	129	42988
3	130	32539
4	131	26204
5	132	21967
6	133	18929
7	134	16644
8	135	14868
9	135	13457
10	136	12296
11	137	11330
12	139	10558
13	139	9858
14	140	9244
15	141	8709
16	142	8242
17	143	7818
18	144	7438
19	144	7098
20	145	6791
21	146	6511
22	147	6254
23	148	6049
24	149	5839
25	150	5644
26	151	5467
27	153	5322
28	154	5165
29	155	5015
30	155	4872
31	156	4739
32	157	4614
33	158	4493
34	158	4383
35	159	4276
36	160	4177
37	161	4083
38	162	3998
39	163	3915
40	163	3834
41	164	3761
42	167	3734
43	168	3669
44	170	3609
45	171	3546
46	172	3493
47	173	3431
48	173	3376
49	174	3321
50	175	3268
51	176	3218
52	177	3168
53	178	3121
54	178	3074
55	179	3030
56	180	2991
57	182	2958
58	183	2924
59	184	2885
60	185	2849
61	185	2813
62	188	2806
63	189	2774
64	190	2741
65	191	2708
66	192	2677
67	193	2646
68	193	2617
69	195	2602
70	197	2582
71	198	2553
72	198	2526
73	199	2498
74	200	2473
75	201	2447
76	202	2421
77	202	2397
78	203	2372
79	204	2349
80	204	2325
81	205	2303
82	206	2278
83	206	2256
84	207	2235
85	208	2215
86	209	2198
87	210	2182
88	211	2167
89	212	2148
90	213	2130
91	214	2112
92	214	2095
93	215	2078
94	216	2061
95	217	2044
96	217	2027
97	218	2011
98	219	1994
99	219	1979
100	220	1963
101	221	1948
102	222	1933
103	222	1919
104	223	1905
105	226	1908
106	227	1896
107	228	1883
108	228	1870
109	229	1858
110	230	1845
111	231	1833
112	232	1821
113	233	1811
114	233	1800
115	234	1788
116	235	1776
117	236	1765
118	237	1756
119	238	1746
120	239	1738
121	240	1733
122	241	1723
123	242	1715
124	243	1705
125	244	1696
126	245	1684
127	245	1675
128	246	1665
129	247	1656
130	248	1646
131	255	1682
132	256	1674
133	257	1666
134	258	1658
135	259	1651
136	261	1645
137	262	1639
138	263	1633
139	264	1627
140	269	1639
141	270	1633
142	271	1624
143	271	1615
144	272	1607
145	273	1599
146	274	1591
147	275	1583
148	275	1575
149	276	1567
150	277	1559
151	278	1551
152	279	1548
153	280	1543
154	281	1536
155	282	1531
156	283	1524
157	284	1516
158	285	1510
159	286	1504
160	287	1497
161	288	1490
162	289	1484
163	289	1477
164	290	1472
165	291	1465
166	292	1458
167	293	1451
168	294	1448
169	295	1442
170	296	1436
171	297	1429
172	298	1427
173	299	1423
174	301	1419
175	302	1413
176	302	1408
177	304	1404
178	304	1398
179	305	1392
180	306	1387
181	307	1381
